,0,2,1
0,96.0,,
1,,53.0,43.0
2,60.0,36.0,
3,33.0,63.0,
4,96.0,,
5,96.0,,
6,,32.0,64.0
7,96.0,,
8,,61.0,35.0
9,64.0,32.0,
10,47.0,49.0,
11,63.0,33.0,
12,75.0,21.0,
13,65.0,31.0,
14,96.0,,
15,,81.0,15.0
16,27.0,28.0,41.0
17,75.0,21.0,
18,68.0,28.0,
19,84.0,12.0,
20,96.0,,
21,59.0,37.0,
22,71.0,25.0,
23,63.0,33.0,
24,70.0,26.0,
25,96.0,,
26,43.0,53.0,
27,61.0,35.0,
28,82.0,14.0,
29,57.0,39.0,
30,59.0,37.0,
31,64.0,32.0,
32,43.0,53.0,
33,68.0,28.0,
34,68.0,28.0,
35,89.0,7.0,
36,54.0,42.0,
37,55.0,41.0,
38,81.0,15.0,
39,96.0,,
40,87.0,9.0,
41,61.0,35.0,
42,52.0,44.0,
43,,37.0,59.0
44,73.0,23.0,
45,,39.0,57.0
46,96.0,,
47,83.0,13.0,
48,,27.0,69.0
49,96.0,,
50,60.0,36.0,
51,72.0,24.0,
52,88.0,8.0,
53,71.0,25.0,
54,65.0,31.0,
55,93.0,3.0,
56,70.0,26.0,
57,62.0,34.0,
58,4.0,92.0,
59,55.0,41.0,
60,63.0,33.0,
61,67.0,29.0,
62,89.0,7.0,
63,59.0,37.0,
64,96.0,,
65,73.0,23.0,
66,74.0,22.0,
67,19.0,16.0,61.0
68,7.0,35.0,54.0
69,82.0,14.0,
70,74.0,22.0,
71,26.0,70.0,
72,96.0,,
73,56.0,40.0,
74,72.0,24.0,
75,93.0,3.0,
76,72.0,24.0,
77,69.0,27.0,
78,69.0,27.0,
79,,96.0,
80,72.0,24.0,
81,68.0,28.0,
82,,96.0,
83,,96.0,
84,58.0,38.0,
85,63.0,33.0,
86,59.0,37.0,
87,67.0,29.0,
88,96.0,,
89,91.0,5.0,
90,63.0,33.0,
91,,96.0,
92,2.0,94.0,
93,,96.0,
94,4.0,92.0,
95,14.0,82.0,
96,29.0,67.0,
97,61.0,35.0,
98,51.0,45.0,
99,58.0,38.0,
100,,96.0,
101,10.0,86.0,
102,,96.0,
103,,96.0,
104,,96.0,
105,,96.0,
106,56.0,40.0,
107,,96.0,
108,34.0,62.0,
109,96.0,,
110,96.0,,
111,,96.0,
