,0,2,1
0,96.0,,
1,,57.0,39.0
2,64.0,32.0,
3,28.0,68.0,
4,96.0,,
5,96.0,,
6,,24.0,72.0
7,96.0,,
8,,62.0,34.0
9,65.0,31.0,
10,50.0,46.0,
11,64.0,32.0,
12,74.0,22.0,
13,65.0,31.0,
14,96.0,,
15,,81.0,15.0
16,54.0,29.0,13.0
17,75.0,21.0,
18,66.0,30.0,
19,85.0,11.0,
20,96.0,,
21,59.0,37.0,
22,71.0,25.0,
23,63.0,33.0,
24,70.0,26.0,
25,62.0,34.0,
26,42.0,54.0,
27,61.0,35.0,
28,68.0,28.0,
29,57.0,39.0,
30,62.0,34.0,
31,64.0,32.0,
32,45.0,51.0,
33,68.0,28.0,
34,96.0,,
35,89.0,7.0,
36,56.0,40.0,
37,55.0,41.0,
38,82.0,14.0,
39,96.0,,
40,88.0,8.0,
41,61.0,35.0,
42,52.0,44.0,
43,,37.0,59.0
44,73.0,23.0,
45,,39.0,57.0
46,76.0,20.0,
47,85.0,11.0,
48,,32.0,64.0
49,96.0,,
50,60.0,36.0,
51,71.0,25.0,
52,92.0,4.0,
53,71.0,25.0,
54,63.0,33.0,
55,93.0,3.0,
56,70.0,26.0,
57,62.0,34.0,
58,4.0,92.0,
59,53.0,43.0,
60,64.0,32.0,
61,67.0,29.0,
62,96.0,,
63,59.0,37.0,
64,96.0,,
65,68.0,28.0,
66,70.0,26.0,
67,21.0,15.0,60.0
68,10.0,34.0,52.0
69,80.0,16.0,
70,73.0,23.0,
71,26.0,70.0,
72,96.0,,
73,47.0,49.0,
74,72.0,24.0,
75,93.0,3.0,
76,72.0,24.0,
77,69.0,27.0,
78,65.0,31.0,
79,,96.0,
80,74.0,22.0,
81,67.0,29.0,
82,72.0,24.0,
83,96.0,,
84,62.0,34.0,
85,63.0,33.0,
86,58.0,37.0,1.0
87,67.0,29.0,
88,94.0,2.0,
89,91.0,5.0,
90,61.0,35.0,
91,,96.0,
92,34.0,62.0,
93,,96.0,
94,2.0,94.0,
95,18.0,78.0,
96,28.0,68.0,
97,60.0,36.0,
98,46.0,50.0,
99,58.0,38.0,
100,61.0,35.0,
101,10.0,86.0,
102,,96.0,
103,,96.0,
104,,96.0,
105,,96.0,
106,,96.0,
107,,96.0,
108,,96.0,
109,96.0,,
110,96.0,,
111,,96.0,
